Date,Open,High,Low,Close,Adj Close,Volume
2021-03-08,600.549988,717.849976,558.789978,693.729980,693.729980,249753700
2021-03-15,694.090027,713.179993,624.619995,654.869995,654.869995,178022600
2021-03-22,684.590027,699.619995,599.890015,618.710022,618.710022,176877000
2021-03-29,615.640015,692.419983,591.010010,661.750000,661.750000,136705100
2021-04-05,707.710022,708.159973,667.840027,677.020020,677.020020,141785400
2021-04-12,685.700012,780.789978,682.090027,739.780029,739.780029,178634300
2021-04-19,719.599976,753.770020,691.799988,729.400024,729.400024,170471000
2021-04-26,741.000000,749.299988,666.140015,709.440002,709.440002,152350600
2021-05-03,703.799988,706.000000,650.000000,672.369995,672.369995,129938100
2021-05-10,664.900024,665.049988,559.650024,589.739990,589.739990,189275700
2021-05-17,575.549988,596.679993,546.979980,580.880005,580.880005,165651100
2021-05-24,581.599976,635.590027,573.650024,625.219971,625.219971,140310900
2021-05-31,627.799988,633.799988,571.219971,599.049988,599.049988,95536500
2021-06-07,591.830017,623.090027,582.880005,609.890015,609.890015,105306600
2021-06-14,612.229980,628.349976,593.500000,623.309998,623.309998,107594500
2021-06-21,624.479980,697.619995,608.880005,671.869995,671.869995,153549900
2021-06-28,671.640015,700.000000,670.320007,678.900024,678.900024,103623400
2021-07-05,681.710022,684.000000,620.460022,656.950012,656.950012,82990300
2021-07-12,662.200012,693.280029,637.880005,644.219971,644.219971,105114900
2021-07-19,629.890015,664.859985,621.289978,643.380005,643.380005,80448100
2021-07-26,650.969971,697.530029,627.239990,687.200012,687.200012,134151600
2021-08-02,700.000000,726.940002,697.630005,699.099976,699.099976,100734500
2021-08-09,710.169983,729.900024,699.400024,717.169983,717.169983,72106200
2021-08-16,705.070007,709.500000,648.840027,680.260010,680.260010,95843400
2021-08-23,685.440002,716.969971,680.750000,711.919983,711.919983,72970000
2021-08-30,714.719971,741.989990,712.729980,733.570007,733.570007,80687300
2021-09-06,740.000000,764.450012,734.520020,736.270020,736.270020,68024800
2021-09-13,740.210022,761.039978,708.849976,759.489990,759.489990,98962700
2021-09-20,734.559998,774.799988,718.619995,774.390015,774.390015,89535200
2021-09-27,773.119995,799.000000,763.590027,775.219971,775.219971,109382400
2021-10-04,796.500000,806.969971,773.219971,785.489990,785.489990,99455600
2021-10-11,787.650024,843.210022,785.500000,843.030029,843.030029,81405600
2021-10-18,851.789978,910.000000,851.469971,909.679993,909.679993,109982700
2021-10-25,950.530029,1115.209961,944.200012,1114.000000,1114.000000,220925200
2021-11-01,1145.000000,1243.489990,1118.660034,1222.089966,1222.089966,180392300
2021-11-08,1149.790039,1197.000000,987.309998,1033.420044,1033.420044,182933100
2021-11-15,1017.630005,1138.719971,978.599976,1137.060059,1137.060059,135304600
2021-11-22,1162.329956,1201.949951,1062.000000,1081.920044,1081.920044,103485300
2021-11-29,1100.989990,1172.839966,1000.210022,1014.969971,1014.969971,124441200
2021-12-06,1001.510010,1072.380005,950.500000,1017.030029,1017.030029,99552500
2021-12-13,1001.090027,1005.000000,909.039978,932.570007,932.570007,135926600
2021-12-20,910.700012,1072.979980,886.119995,1067.000000,1067.000000,104781800
2021-12-27,1073.670044,1119.000000,1053.150024,1056.780029,1056.780029,91799500
2022-01-03,1147.750000,1208.000000,1010.000000,1026.959961,1026.959961,152797700
2022-01-10,1000.000000,1115.599976,980.000000,1049.609985,1049.609985,137189000
2022-01-17,1026.609985,1070.790039,940.500000,943.900024,943.900024,105363500
2022-01-24,904.760010,987.690002,792.010010,846.349976,846.349976,208309200
2022-01-31,872.710022,943.700012,862.049988,923.320007,923.320007,132213500
2022-02-07,923.789978,947.770020,850.700012,860.000000,860.000000,103196000
2022-02-14,861.570007,926.429993,837.609985,856.979980,856.979980,100005700
2022-02-21,834.130005,856.729980,700.000000,809.869995,809.869995,129978300
2022-02-28,815.010010,889.880005,814.710022,838.289978,838.289978,125680100
